"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry"
"8H4003_7","8H4003",7,"8RV239","73",4,"Sun",508,3,"cvi_col",-0.477416775850869,-0.489759646492591,0.232636017156687,-0.257275863634845,-0.17924494606731,-0.431508113238508
"8H4003_8","8H4003",8,"21RV016","3",4,"Sun",775,3,"blh_col",-0.041586431398386,-0.876118276541542,0.590262131547987,-0.27301764925616,0.128707460975787,0.0423368423134469
"8H4003_9","8H4003",9,"27RV495","143",4,"Sun",1047,3,"oy_col",0.206208781238798,-1.2117330995539,-0.376530918761738,-1.14273573584107,-1.06942478254467,0.448067094499654
"8H4004_10","8H4004",10,"20RV024","10",4,"Sun",NA,3,"bur_col",1.38286460619163,0.852103708493241,NA,NA,NA,NA
"8H4004_12","8H4004",12,"13RV048","20",4,"Sun",499,3,"sha_col",-0.477416775850869,-1.13822796256935,-0.449393122007641,-1.14273573584107,-0.68529627135636,-0.468284902387552
"8H4004_14","8H4004",14,"13RV078","29",4,"Sun",1390,3,"sha_col",0.717352592007723,-0.669075894060182,-0.376530918761738,-0.788482471037057,-0.352914965963918,-0.111219053038877
"8H4004_16","8H4004",16,"13RV307","97",4,"Sun",NA,3,"sha_col",1.38286460619163,-0.467628074861939,NA,NA,NA,NA
"8H4004_2","8H4004",2,"13RV030","13",4,"Sun",1545,3,"sha_col",1.04480710111635,-0.5565218248775,0.255341541718776,-0.288752588228398,0.519444604914486,0.472229565695229
"8H4004_4","8H4004",4,"20RV057","15",4,"Sun",1389,3,"bur_col",0.717352592007723,0.0264780277426945,0.118356372104483,0.043084537756566,0.412565222595286,-0.0038039385211441
"8H4004_5","8H4004",5,"28RV111","33",4,"Sun",235,3,"jea_col",0.206208781238798,1.60877256532231,NA,NA,0.453665527936035,-0.478986578907422
"8H4004_6","8H4004",6,"29RV072","13",4,"Sun",1243,3,"ita_col",0.427028632720756,-0.899508070064524,0.808051525159321,-0.131098270674531,-0.632672568545512,1.17058632161663
"8H4004_7","8H4004",7,"6915","Ei-2",4,"Sun",NA,3,"accession",1.25567441751391,1.00677739685673,NA,NA,NA,NA
"8H4004_8","8H4004",8,"27RV019","5",4,"Sun",768,3,"oy_col",-0.041586431398386,-0.534205581454125,0.187075916490942,-0.320201817871789,-0.437982573818277,-0.365843419667444
"8H4004_9","8H4004",9,"8RV273","83",4,"Sun",1027,3,"cvi_col",0.206208781238798,-0.206471815857444,-0.114153259353555,-0.288752588228398,0.114514473659641,0.283794074695224
"8H4005_10","8H4005",10,"27RV232","64",4,"Sun",1052,3,"oy_col",0.206208781238798,-0.314331642108113,1.39743516127101,0.731091484675842,0.373897362441538,0.607331951768864
"8H4005_11","8H4005",11,"13RV381","114",4,"Sun",515,3,"sha_col",-0.477416775850869,-1.31128420118174,-0.621749971901668,-1.35611701115747,-0.58486807954215,-0.124499195914539
"8H4005_12","8H4005",12,"29RV063","11",4,"Sun",1546,3,"ita_col",1.04480710111635,0.315298090809669,-0.352372172934729,-0.0520215102924773,1.52097551915528,1.79306952120694
"8H4005_14","8H4005",14,"27RV111","33",4,"Sun",1498,3,"oy_col",0.888521299216401,0.00553244152341662,-0.184993419719517,-0.178465166425221,0.197883030407996,0.256892025223864
"8H4005_15","8H4005",15,"8RV272","82",4,"Sun",1051,3,"cvi_col",0.206208781238798,-0.5565218248775,0.368141189209912,-0.210009693860834,-0.101842889884683,0.204696121634862
"8H4005_16","8H4005",16,"8RV031","10",4,"Sun",813,3,"cvi_col",-0.041586431398386,-1.13822796256935,1.02183459697733,-0.131098270674531,-0.370670379709639,-0.00662292055629802
"8H4005_2","8H4005",2,"21RV348","96",4,"Sun",NA,3,"blh_col",1.38286460619163,NA,NA,NA,NA,NA
"8H4005_3","8H4005",3,"13RV141","47",4,"Sun",1497,3,"sha_col",0.888521299216401,-0.0364932734246173,-0.400753527072042,-0.351623333577382,0.160693557210114,0.401264672856333
"8H4005_6","8H4005",6,"21RV051","16",4,"Sun",NA,3,"blh_col",1.76207308754076,NA,NA,NA,NA,NA
"8H4005_7","8H4005",7,"20RV019","8",4,"Sun",NA,3,"bur_col",1.66282867889105,NA,NA,NA,NA,NA
"8H4005_8","8H4005",8,"8RV006","1",4,"Sun",812,3,"cvi_col",-0.041586431398386,-0.534205581454125,-0.304243555885595,-0.648701310262501,-0.483005499008591,-0.28929328994017
"8H4006_1","8H4006",1,"21RV447","124",4,"Sun",503,3,"blh_col",-0.477416775850869,-1.18712554171081,0.3231652366692,-0.664263260096803,-0.982330304637524,-0.888606597149768
"8H4006_10","8H4006",10,"8RV433","136",4,"Sun",502,3,"cvi_col",-0.477416775850869,-0.922980270490216,1.12731410342531,0.0907235946028233,-0.0391145812095377,-0.567943495293128
"8H4006_11","8H4006",11,"28RV266","69",4,"Sun",1231,3,"jea_col",0.427028632720756,-0.121098136437449,0.612230269955731,0.281839228029296,0.83801081360298,0.717928980288331
"8H4006_14","8H4006",14,"21RV130","39",4,"Sun",NA,3,"blh_col",1.76207308754076,NA,NA,NA,NA,NA
