"geno","LL_r","LL_d","LL_Lmax","LL_it","LL_is","LW_r","LW_d","LW_Lmax","LW_it","LW_is","LL_STP","LW_STP"
"13RV474",0.0198510283088906,490.379747256414,25.8298672600418,341.649374091152,12.9149336312828,0.0163059737378637,512.587767697062,10.8175837064936,331.306997121092,5.40879186315819,27.2096054405986,10.2955935163092
"13RV478",0.0182058811874055,556.468394411508,24.917292124456,389.788918470771,12.4586460593348,0.0172129545868439,519.200841185497,8.59203236971825,345.592218339667,4.29601617334905,22.8837286552178,8.62237968416352
"13RV479",0.0173360828774973,548.725148998444,22.8368322741888,377.297560290624,11.4184161286585,0.0176245931110521,501.812726875306,8.09704152480949,333.860836102045,4.04852074580137,23.2442183873329,8.51083209535381
"13RV048",0.0163169463687021,567.835971963814,26.3266826793384,385.319225720224,13.1633413425505,0.0156148067020367,544.386151157819,10.607868925393,354.334243228251,5.30393447413151,24.3743656319973,9.85482529957613
"13RV482",0.0202110792503476,517.503918410914,24.69430101089,368.741363400753,12.3471505035854,0.0181636618034845,510.098448305674,10.6363465292882,344.231495614155,5.31817327345436,23.6914932512735,9.62630798345094
"13RV484",0.0185062491807426,533.496404864179,26.0655590057713,372.222564637213,13.0327795048339,0.018791739555029,500.073750591486,10.4684431756798,338.572127357152,5.23422159411665,26.4202989189299,9.1756794114091
"13RV485",0.014319244486375,638.320658373779,32.7063772847148,413.556495401089,16.3531886690819,0.0139076719054068,585.482444345167,12.2225720103426,373.329947490938,6.1112860347726,30.6567915346556,11.3614575613123
"13RV488",0.0159229843780334,588.787611347814,28.3440825743084,400.70882099559,14.172041294018,0.0156492969184105,546.335325530775,12.0022377711583,356.656877256498,6.00111891133366,25.9073361043168,10.6131147912041
"13RV491",0.0144491872806077,595.741689492161,28.4453549355782,390.357352350593,14.2226774782321,0.0164935530089473,506.75424422856,9.35883770834904,328.744179192762,4.67941885009719,28.0507481488671,9.18011762821209
"13RV493",0.0208735838287109,509.727249312653,27.2633595015438,365.011200088858,13.6316797577076,0.0190848770799101,492.748547231754,10.3460302140854,334.498395350319,5.17301511284917,26.2564286335048,9.62630798345094
"13RV494",0.0164265018298448,576.109938973862,22.4761711101825,391.883810491267,11.2380855434091,0.016861358282046,521.52121130272,8.28850308797841,345.254951763995,4.14425151683821,20.566829727953,8.06165999653569
"13RV500",0.0133276221790918,642.205238077978,26.9710011148287,403.662912224375,13.4855005606209,0.0149682046889105,548.183561793533,8.82740788877146,351.730220042125,4.41370393435262,25.0466670479082,8.72982446403388
"13RV505",0.0163269439977475,588.862578854093,32.8763779410986,403.275177410452,16.4381889987768,0.0145159643373488,572.83366419564,12.5449538963583,368.482334699822,6.27247697541945,34.1018046730016,11.4110694044063
"13RV051",0.0175071990423527,550.749500326216,25.1088295977985,380.283022905461,12.554414798667,0.0179897640950882,516.738331916639,10.6435188880728,348.055137642199,5.32175945760301,23.9346625390441,10.002056656545
"13RV056",0.0160393373365691,560.494839988235,27.7536783039065,376.826238177765,13.8768391616471,0.0160302365145089,521.38604993758,9.94820687963618,339.423239716223,4.97410344392704,26.2564286335048,9.5133776641419
"13RV058",0.0163839173292865,607.665662425141,32.7580140088647,419.815938067563,16.3790070246199,0.0171153836523284,537.347410536456,9.65168813973959,358.613316211326,4.8258440699592,28.8918908571356,9.10150916870805
