"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","A42","B42","AA","AB","BA","BB"
"20RV_20RV276","2H4001_16","2H4001",16,"73",4,"Sun",676,1,"bur_col",-0.477416775850869,0.556890021048638,0.345676921251071,0.643029279884946,0.497807280749059,0.349221592675648,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","2L1001_16","2L1001",16,"73",1,"Shade",264,1,"bur_col",-0.823373927890408,0.233586083725098,1.32527739737752,0.722297360941033,-1.33613363917294,-1.01738653989177,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","5H4017_2","5H4017",2,"73",4,"Sun",NA,2,"bur_col",2.1406258516707,-2.45295262465652,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","5L1017_2","5L1017",2,"73",1,"Shade",1648,2,"bur_col",1.18824297761597,1.06431749179929,0.0953468310755331,0.86025857927561,1.39753455918876,2.28462261565332,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","8L1004_15","8L1004",15,"73",1,"Shade",NA,3,"bur_col",1.50084858465274,-1.95976051154603,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","9H5024_8","9H5024",8,"73",5,"Sun",NA,4,"bur_col",1.66282867889105,-1.46431660553353,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV276","9L2024_8","9L2024",8,"73",2,"Shade",1608,4,"bur_col",1.04480710111635,-0.601345766178646,1.45896367757239,0.570128797308457,0.95055090010981,2.13818907309932,4.31832347658201e-11,0.999999999956817,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,4.31832347658199e-11,1.53417668847382e-25,0.999999999956813,3.55271367864708e-15
"20RV_20RV277","2H6018_11","2H6018",11,"74",6,"Sun",1179,1,"bur_col",0.206208781238798,1.21101558597213,NA,NA,1.04908277778921,0.336086049072188,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV277","2L3018_11","2L3018",11,"74",3,"Shade",632,1,"bur_col",-0.477416775850869,1.07388371931286,0.770236215952697,1.39661880006372,0.172529046714471,0.492710081697365,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV277","5H6010_5","5H6010",5,"74",6,"Sun",1282,2,"bur_col",0.206208781238798,-1.04163645596987,-0.498296675299771,-1.11210862854198,-0.806871919286631,0.508364899130726,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV277","5L3010_5","5L3010",5,"74",3,"Shade",1137,2,"bur_col",0.206208781238798,1.97323766669836,-0.823038168044183,1.03842277293528,1.90216544796074,0.865869519853739,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV277","8H6012_13","8H6012",13,"74",6,"Sun",1444,3,"bur_col",0.717352592007723,-0.206471815857444,-0.951373297143237,-0.819459219247534,0.960973285272704,0.784715839635664,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
