"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","AA","AB","BA","BB"
"27RV_27RV441","8H4013_11","8H4013",11,"129",4,"Sun",1394,3,"oy_col",0.717352592007723,0.0473794624130474,1.23189600357143,0.876428796996597,0.117566215160007,0.769657847791337,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","8L1013_11","8L1013",11,"129",1,"Shade",282,3,"oy_col",-0.477416775850869,-0.876118276541542,1.70222910428108,0.570128797308457,0.245565817135274,0.454146604306747,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","9H5023_3","9H5023",3,"129",5,"Sun",919,4,"oy_col",-0.041586431398386,-0.0575744744645495,1.29422700105471,0.844093730339241,0.366053847999667,-0.118353555547955,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV441","9L2023_3","9L2023",3,"129",2,"Shade",690,4,"oy_col",-0.041586431398386,1.08344322059513,0.3231652366692,1.03842277293528,0.750257592055569,-0.266255202102839,0.921406293814008,0.0785937061859916,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717391
"27RV_27RV446","2H4009_10","2H4009",10,"130",4,"Sun",944,1,"oy_col",-0.177391632843378,0.614029301434175,NA,NA,1.38282827990574,0.284555100895789,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","2L1009_10","2L1009",10,"130",1,"Shade",NA,1,"oy_col",-1.45837633437157,-0.227939988081207,2.30179430450965,0.845563039785803,NA,NA,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","5H5021_1","5H5021",1,"130",5,"Sun",938,2,"oy_col",-0.177391632843378,-0.760352273685909,0.894028744580012,0.0272175206180774,0.00394332437053817,-0.0208065235798667,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","5L2021_1","5L2021",1,"130",2,"Shade",526,2,"oy_col",-0.477416775850869,0.987542346661076,1.00062817741828,1.46200375203858,0.555669991670669,-0.605912860078701,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","8H4008_1","8H4008",1,"130",4,"Sun",1055,3,"oy_col",0.206208781238798,-0.401588189902781,1.41797726786633,0.682744132119947,0.861519954001566,1.13727340490279,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","8L1008_1","8L1008",1,"130",1,"Shade",331,3,"oy_col",-0.477416775850869,-0.249459367669014,2.27288817217235,1.494725290265,0.836036749333106,0.0268242028179689,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","9H6020_8","9H6020",8,"130",6,"Sun",1231,4,"oy_col",0.206208781238798,0.516977125489423,-0.721794282204056,-0.131098270674531,0.0606914228538911,-0.894179465884311,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV446","9L3020_8","9L3020",8,"130",3,"Shade",179,4,"oy_col",-0.823373927890408,-0.249459367669014,-0.823038168044183,-0.772982264212492,-0.409592185569175,-0.961110383034863,0.921406293814008,0.0785937061859917,3.07181404757273e-08,0.999999969281859,2.8303887968598e-08,0.92140626551012,2.41425250712933e-09,0.0785937037717392
"27RV_27RV451","2H5014_11","2H5014",11,"131",5,"Sun",984,1,"oy_col",-0.177391632843378,-0.0102060344859151,NA,NA,0.025590412662054,0.140351619107434,0.0785937061859927,0.921406293814007,0.99999996928186,3.07181398095935e-08,0.0785937037717403,2.41425245477544e-09,0.92140626551012,2.8303887354818e-08
"27RV_27RV451","2L2014_11","2L2014",11,"131",2,"Shade",871,1,"oy_col",-0.177391632843378,-0.737425732673803,0.164220445605791,-0.55621259343391,0.292816678282538,0.656111546439681,0.0785937061859927,0.921406293814007,0.99999996928186,3.07181398095935e-08,0.0785937037717403,2.41425245477544e-09,0.92140626551012,2.8303887354818e-08
"27RV_27RV451","5H4014_4","5H4014",4,"131",4,"Sun",609,2,"oy_col",-0.477416775850869,-0.249459367669014,0.936783087783038,0.42574727035255,0.064895225419495,2.73975559813775,0.0785937061859927,0.921406293814007,0.99999996928186,3.07181398095935e-08,0.0785937037717403,2.41425245477544e-09,0.92140626551012,2.8303887354818e-08
"27RV_27RV451","5L1014_4","5L1014",4,"131",1,"Shade",72,2,"oy_col",-0.823373927890408,0.436736652678838,1.12731410342531,1.10336675243363,0.661296417864665,-0.330603833432619,0.0785937061859927,0.921406293814007,0.99999996928186,3.07181398095935e-08,0.0785937037717403,2.41425245477544e-09,0.92140626551012,2.8303887354818e-08
"27RV_27RV451","8H6016_15","8H6016",15,"131",6,"Sun",903,3,"oy_col",-0.041586431398386,0.536950579501293,1.04300382752981,1.11961562934844,1.07555592785107,-0.44714246422596,0.0785937061859927,0.921406293814007,0.99999996928186,3.07181398095935e-08,0.0785937037717403,2.41425245477544e-09,0.92140626551012,2.8303887354818e-08
