"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h3_h1","i_dry","r_dry"
"2H4007_4","2H4007",4,"8RV034","11",4,"Sun",NA,1,"cvi_col",1.58249310859434,1.25600331235362,NA,NA
"2H4007_6","2H4007",6,"27RV290","83",4,"Sun",1472,1,"oy_col",0.795860184772765,0.11600463310777,0.229428540414273,1.57502199788678
"2H4007_9","2H4007",9,"29RV180","38",4,"Sun",159,1,"ita_col",-1.4358498330304,1.67689371714636,0.191011605616379,-0.296900965027035
"2H4008_1","2H4008",1,"20RV201","58",4,"Sun",402,1,"bur_col",-0.827273937535105,0.502884790679962,0.295472959220672,0.142211101120726
"2H4008_10","2H4008",10,"13RV028","11",4,"Sun",NA,1,"sha_col",1.33234691292716,NA,NA,NA
"2H4008_13","2H4008",13,"13RV051","21",4,"Sun",403,1,"sha_col",-0.827273937535105,1.48221255171043,0.451885116383631,-0.244110810753708
"2H4008_13","2H4008",13,"6942","Nd-1",4,"Sun",403,1,"accession",-0.827273937535105,1.48221255171043,0.451885116383631,-0.244110810753708
"2H4008_15","2H4008",15,"28RV421","117",4,"Sun",401,1,"jea_col",-0.827273937535105,-0.621971809529872,0.0542410948864993,-0.329349410010807
"2H4008_15","2H4008",15,"6932","LER-1",4,"Sun",401,1,"accession",-0.827273937535105,-0.621971809529872,0.0542410948864993,-0.329349410010807
"2H4008_16","2H4008",16,"13RV059","24",4,"Sun",400,1,"sha_col",-0.827273937535105,1.60601802345888,0.562481904113731,-0.776645093442646
"2H4008_16","2H4008",16,"6930","KZ-1",4,"Sun",400,1,"accession",-0.827273937535105,1.60601802345888,0.562481904113731,-0.776645093442646
"2H4008_2","2H4008",2,"27RV062","20",4,"Sun",924,1,"oy_col",-0.194996438790942,NA,0.903877111251464,0.444197173561461
"2H4008_3","2H4008",3,"21RV375","102",4,"Sun",690,1,"blh_col",-0.490407063498618,-0.293932779124527,-1.04614257821009,-0.142198692537741
"2H4008_4","2H4008",4,"28RV364","97",4,"Sun",155,1,"jea_col",-1.4358498330304,1.37045110610403,-0.619147046673398,-0.664778498509006
"2H4008_5","2H4008",5,"25AV","JEA",4,"Sun",692,1,"accession",-0.490407063498618,0.298105883236654,0.987593171517329,-0.214679115614456
"2H4008_6","2H4008",6,"13RV202","66",4,"Sun",691,1,"sha_col",-0.490407063498618,1.09621935957329,1.28808426060766,0.280199258034497
"2H4008_8","2H4008",8,"29RV087","16",4,"Sun",399,1,"ita_col",-0.827273937535105,-0.571640054269237,-0.559248088265635,-0.534161196381748
"2H4008_9","2H4008",9,"28RV110","32",4,"Sun",1088,1,"jea_col",0.187423883105303,NA,1.27952434682281,1.11986364728515
"2H4009_1","2H4009",1,"13RV056","22",4,"Sun",1115,1,"sha_col",0.187423883105303,NA,1.40499605430695,0.352934940761669
"2H4009_10","2H4009",10,"27RV446","130",4,"Sun",944,1,"oy_col",-0.194996438790942,NA,1.38186989108,0.270273532589585
"2H4009_11","2H4009",11,"27RV164","45",4,"Sun",1114,1,"oy_col",0.187423883105303,NA,0.848037119823024,1.02333798716641
"2H4009_12","2H4009",12,"29RV631","147",4,"Sun",425,1,"ita_col",-0.827273937535105,1.02498447518097,-0.563895922304138,-0.872318342303213
"2H4009_12","2H4009",12,"6940","MZ-0",4,"Sun",425,1,"accession",-0.827273937535105,1.02498447518097,-0.563895922304138,-0.872318342303213
"2H4009_13","2H4009",13,"28RV362","96",4,"Sun",NA,1,"jea_col",1.90275823628666,NA,NA,NA
"2H4009_13","2H4009",13,"28RV362","96",4,"Sun",NA,1,"jea_col",1.90275823628666,NA,NA,NA
"2H4009_14","2H4009",14,"21RV387","108",4,"Sun",945,1,"blh_col",-0.490407063498618,0.537498342566589,1.78493998439433,0.877592955303197
"2H4009_15","2H4009",15,"8RV057","20",4,"Sun",942,1,"cvi_col",-0.194996438790942,NA,0.342208831545466,0.66420465237616
"2H4009_16","2H4009",16,"13RV152","51",4,"Sun",707,1,"sha_col",-0.490407063498618,1.26362503973618,0.390234429048704,0.689878156161083
"2H4009_2","2H4009",2,"13RV121","40",4,"Sun",708,1,"sha_col",-0.490407063498618,1.26362503973618,1.04077816271545,0.229092847027555
"2H4009_3","2H4009",3,"21RV418","116",4,"Sun",1112,1,"blh_col",0.187423883105303,NA,1.43289126998334,0.9565428289745
"2H4009_4","2H4009",4,"8RV200","61",4,"Sun",706,1,"cvi_col",-0.490407063498618,1.21791223642848,0.983384955255839,0.166279540453858
"2H4009_6","2H4009",6,"8RV026","9",4,"Sun",943,1,"cvi_col",-0.194996438790942,NA,0.356325336256049,0.518570940149819
"2H4009_7","2H4009",7,"13RV132","42",4,"Sun",1113,1,"sha_col",0.187423883105303,NA,1.40780629159015,0.815915772917015
"2H4009_8","2H4009",8,"27RV334","92",4,"Sun",1111,1,"oy_col",0.187423883105303,NA,1.01321433333603,0.537881270780269
"2H4009_9","2H4009",9,"6009","EDEN1",4,"Sun",1116,1,"accession",0.187423883105303,NA,1.39418016075627,0.766619651018229
"2H4010_1","2H4010",1,"20RV332","95",4,"Sun",NA,1,"bur_col",1.12016370733099,-0.403277212615994,NA,NA
"2H4010_10","2H4010",10,"21RV404","112",4,"Sun",1304,1,"blh_col",0.187423883105303,NA,1.20363941741173,0.812178960171637
"2H4010_11","2H4010",11,"28RV385","106",4,"Sun",688,1,"jea_col",-0.490407063498618,-1.6692233870264,-2.02131111548839,-1.08027702033333
"2H4010_13","2H4010",13,"28RV339","90",4,"Sun",932,1,"jea_col",-0.194996438790942,NA,0.724094943238966,0.26797336602263
"2H4010_14","2H4010",14,"20RV024","10",4,"Sun",405,1,"bur_col",-1.4358498330304,-0.883772976818876,-0.26091732471482,-0.755423439634246
"2H4010_15","2H4010",15,"28RV357","94",4,"Sun",931,1,"jea_col",-0.194996438790942,NA,0.792288684979017,0.778135883304963
"2H4010_16","2H4010",16,"8RV299","97",4,"Sun",NA,1,"cvi_col",1.33234691292716,NA,NA,NA
"2H4010_3","2H4010",3,"21RV081","25",4,"Sun",2,1,"blh_col",-3.77549480269536,NA,-1.20553744240229,-1.44433701340287
"2H4010_6","2H4010",6,"27RV108","32",4,"Sun",1464,1,"oy_col",0.410114698004073,NA,1.44895438558459,0.991246765918003
"2H4010_7","2H4010",7,"8RV363","121",4,"Sun",154,1,"cvi_col",-1.4358498330304,-0.95117481007497,-3.04222777201164,-0.378308486245093
"2H4010_8","2H4010",8,"27RV340","95",4,"Sun",NA,1,"oy_col",1.33234691292716,NA,NA,NA
"2H4010_9","2H4010",9,"6897","AG-0",4,"Sun",689,1,"accession",-0.490407063498618,0.823544997447002,0.435222898923234,-0.234230062205725
"2H4011_1","2H4011",1,"8RV292","92",4,"Sun",161,1,"cvi_col",-1.4358498330304,-0.680586255117895,-1.04193849655848,-0.293469764960325
"2H4011_10","2H4011",10,"21RV204","55",4,"Sun",407,1,"blh_col",-0.827273937535105,0.850275171016183,-0.347985991802772,0.165456253854097
"2H4011_13","2H4011",13,"28RV298","77",4,"Sun",1284,1,"jea_col",0.410114698004073,NA,1.34050256008912,1.21588636025836
"2H4011_14","2H4011",14,"27RV066","22",4,"Sun",1488,1,"oy_col",0.795860184772765,0.11600463310777,0.578680923757289,1.21754281126176
"2H4011_15","2H4011",15,"20RV342","97",4,"Sun",1142,1,"bur_col",0.187423883105303,NA,1.61133796127471,0.966743865844829
"2H4011_16","2H4011",16,"21RV040","11",4,"Sun",681,1,"blh_col",-0.490407063498618,-0.205746904893563,0.156639300108432,-0.186919792869408
"2H4011_2","2H4011",2,"28RV446","126",4,"Sun",682,1,"jea_col",-1.4358498330304,-0.407497142932135,1.04542510540195,0.202849855495127
"2H4011_3","2H4011",3,"29RV311","73",4,"Sun",1141,1,"ita_col",-0.490407063498618,0.262183416783338,1.98453219610277,0.711709356271226
"2H4011_4","2H4011",4,"29RV249","58",4,"Sun",1140,1,"ita_col",0.187423883105303,NA,0.655182242668595,-0.148352938550569
"2H4011_4","2H4011",4,"8314","KA-0",4,"Sun",1140,1,"accession",0.187423883105303,NA,0.655182242668595,-0.148352938550569
"2H4011_5","2H4011",5,"28RV263","68",4,"Sun",162,1,"jea_col",-0.827273937535105,2.32083709335523,-0.057303319564951,-0.337584011805327
"2H4011_6","2H4011",6,"8RV281","87",4,"Sun",1283,1,"cvi_col",0.410114698004073,NA,0.212252568141227,1.83899790502897
"2H4011_7","2H4011",7,"29RV261","63",4,"Sun",1282,1,"ita_col",0.410114698004073,NA,0.278979680668255,0.651204207479271
"2H4011_9","2H4011",9,"6008","DUK",4,"Sun",408,1,"accession",-0.827273937535105,0.00430648578760585,-0.0482721900986935,0.0126528787579621
"2H4012_1","2H4012",1,"8RV283","88",4,"Sun",NA,1,"cvi_col",1.33234691292716,NA,NA,NA
"2H4012_10","2H4012",10,"27RV415","122",4,"Sun",1122,1,"oy_col",0.187423883105303,NA,-1.49408795396345,-0.799899021708996
"2H4012_12","2H4012",12,"21RV377","103",4,"Sun",413,1,"blh_col",-0.827273937535105,0.520188005693764,-0.854184119343276,-1.28026983827901
"2H4012_13","2H4012",13,"21RV485","141",4,"Sun",168,1,"blh_col",-1.4358498330304,-1.55407364838728,-1.75661380546135,-1.4190579039416
"2H4012_14","2H4012",14,"20RV064","18",4,"Sun",1123,1,"bur_col",0.187423883105303,NA,1.453971594216,0.891877059919282
"2H4012_16","2H4012",16,"20RV364","105",4,"Sun",1121,1,"bur_col",0.187423883105303,NA,0.941328011281034,0.350035561959251
"2H4012_2","2H4012",2,"8RV114","39",4,"Sun",711,1,"cvi_col",-0.490407063498618,-0.658828600994677,-0.554613766560102,-1.48772418047664
"2H4012_3","2H4012",3,"20RV409","114",4,"Sun",948,1,"bur_col",-0.194996438790942,NA,0.666140318793244,0.0736436802033505
"2H4012_4","2H4012",4,"21RV453","128",4,"Sun",NA,1,"blh_col",1.33234691292716,NA,NA,NA
"2H4012_5","2H4012",5,"20RV274","72",4,"Sun",1124,1,"bur_col",0.187423883105303,NA,1.18238589661937,1.09102125735201
"2H4012_7","2H4012",7,"27RV003","3",4,"Sun",NA,1,"oy_col",1.58249310859434,-2.49004714343386,NA,NA
"2H4012_9","2H4012",9,"8RV158","51",4,"Sun",949,1,"cvi_col",-0.194996438790942,NA,1.24123373390305,0.497038758067166
"2H4013_1","2H4013",1,"8RV475","144",4,"Sun",704,1,"cvi_col",-0.490407063498618,1.56943570583575,1.29159637517197,-0.0482105247453828
"2H4013_10","2H4013",10,"21RV440","122",4,"Sun",921,1,"blh_col",-0.194996438790942,NA,1.11195725573895,-0.264088408798571
"2H4013_11","2H4013",11,"20RV504","140",4,"Sun",NA,1,"bur_col",0.795860184772765,NA,NA,NA
"2H4013_13","2H4013",13,"28RV461","132",4,"Sun",420,1,"jea_col",-0.827273937535105,1.20034164676182,0.0243761131178489,-1.38347874784479
"2H4013_14","2H4013",14,"28RV504","144",4,"Sun",NA,1,"jea_col",1.33234691292716,NA,NA,NA
"2H4013_15","2H4013",15,"27RV436","127",4,"Sun",919,1,"oy_col",-0.194996438790942,NA,0.689996242813515,0.583860997975664
"2H4013_16","2H4013",16,"13RV273","88",4,"Sun",918,1,"sha_col",-0.194996438790942,NA,-0.588915960823059,0.0550859813893573
"2H4013_2","2H4013",2,"29RV057","8",4,"Sun",920,1,"ita_col",-0.194996438790942,NA,1.26431206812734,0.163808268967935
"2H4013_3","2H4013",3,"27RV498","145",4,"Sun",702,1,"oy_col",-0.490407063498618,0.59756230561798,0.476566638320582,-1.08027702033333
"2H4013_4","2H4013",4,"20RV307","86",4,"Sun",419,1,"bur_col",-0.827273937535105,0.244208400732819,-1.33423382982144,-2.61084598243919
"2H4013_5","2H4013",5,"28RV012","6",4,"Sun",705,1,"jea_col",-0.490407063498618,-0.35259543369388,0.933284531673339,0.199636356560782
"2H4013_6","2H4013",6,"27RV049","16",4,"Sun",1090,1,"oy_col",0.187423883105303,NA,0.626347499071713,0.0832688281585492
"2H4013_7","2H4013",7,"27RV024","9",4,"Sun",703,1,"oy_col",-0.490407063498618,1.08102923936045,0.0637252149021071,-1.21767002339965
"2H4013_8","2H4013",8,"28RV059","25",4,"Sun",701,1,"jea_col",-0.490407063498618,1.24838275369352,0.792288684979017,0.512729110643224
"2H4013_9","2H4013",9,"29RV466","112",4,"Sun",NA,1,"ita_col",1.33234691292716,NA,NA,NA
"2H4014_1","2H4014",1,"29RV168","33",4,"Sun",1129,1,"ita_col",0.187423883105303,NA,1.36563582747964,0.667731088497502
"2H4014_10","2H4014",10,"8RV232","70",4,"Sun",1128,1,"cvi_col",0.187423883105303,NA,-0.17587942635093,0.879641548897194
"2H4014_11","2H4014",11,"21RV461","132",4,"Sun",679,1,"blh_col",-0.490407063498618,-0.337939470535063,0.164559878428461,0.167102357268193
"2H4014_12","2H4014",12,"6937","Mrk-0",4,"Sun",1288,1,"accession",0.410114698004073,NA,0.813746672869574,1.45374829023941
"2H4014_12","2H4014",12,"8RV284","89",4,"Sun",1288,1,"cvi_col",0.410114698004073,NA,0.813746672869574,1.45374829023941
"2H4014_13","2H4014",13,"8RV134","43",4,"Sun",409,1,"cvi_col",-0.827273937535105,1.27066151642706,0.540633255900533,-0.56596851979889
"2H4014_14","2H4014",14,"13RV023","10",4,"Sun",NA,1,"sha_col",1.64003667183993,NA,NA,NA
"2H4014_15","2H4014",15,"28RV320","84",4,"Sun",1289,1,"jea_col",0.187423883105303,NA,1.51612772459827,1.16196357003025
"2H4014_16","2H4014",16,"8RV093","34",4,"Sun",1125,1,"cvi_col",0.187423883105303,NA,0.556268854608503,0.89492104395622
"2H4014_2","2H4014",2,"13RV420","126",4,"Sun",1481,1,"sha_col",0.795860184772765,-0.145096195892425,0.781455102671922,1.5609651512972
"2H4014_3","2H4014",3,"13RV284","91",4,"Sun",1126,1,"sha_col",0.187423883105303,NA,1.2638026264703,1.00027907011661
"2H4014_4","2H4014",4,"27RV159","42",4,"Sun",1287,1,"oy_col",0.410114698004073,NA,0.498468389965447,1.30692535029078
"2H4014_6","2H4014",6,"28RV028","13",4,"Sun",1127,1,"jea_col",0.187423883105303,NA,0.512110661943381,1.16024910261907
"2H4014_7","2H4014",7,"8RV208","63",4,"Sun",1480,1,"cvi_col",0.795860184772765,-1.34410474133985,-0.99438402191314,0.850713683019885
"2H4014_8","2H4014",8,"8RV138","45",4,"Sun",NA,1,"cvi_col",1.33234691292716,NA,NA,NA
"2H4014_9","2H4014",9,"27RV101","29",4,"Sun",958,1,"oy_col",-0.194996438790942,NA,0.858447720807967,0.74332609301266
"2H4015_11","2H4015",11,"8RV197","59",4,"Sun",1286,1,"cvi_col",0.410114698004073,NA,0.778055097568556,0.766069111136828
